,split,patch_id,v1-labels,v2-labels
0,train,S2A_MSIL2A_20171002T094031_83_35,Mixed,Mixed
1,train,S2B_MSIL2A_20171107T105229_46_2,Mixed,Mixed
2,train,S2A_MSIL2A_20170813T112121_81_83,Other,Other
3,train,S2A_MSIL2A_20180413T095031_89_46,Other,Other
4,train,S2A_MSIL2A_20170813T112121_46_0,Other,Other
5,train,S2B_MSIL2A_20170930T095019_88_27,Other,Other
6,train,S2A_MSIL2A_20171208T093351_8_43,Other,Other
7,train,S2B_MSIL2A_20171112T114339_78_24,Other,Other
8,train,S2A_MSIL2A_20180318T093031_11_17,Other,Other
9,train,S2B_MSIL2A_20170825T093029_10_34,Other,Other
10,train,S2B_MSIL2A_20170808T094029_44_1,Other,Other
11,train,S2B_MSIL2A_20170719T094029_85_73,Other,Other
12,train,S2A_MSIL2A_20171104T095201_2_21,Mixed,Mixed
13,train,S2B_MSIL2A_20180422T093029_26_84,Other,Other
14,train,S2A_MSIL2A_20170613T101032_80_58,Other,Other
15,train,S2A_MSIL2A_20180413T095031_78_33,Other,Other
16,train,S2B_MSIL2A_20170930T095019_36_9,Other,Other
17,train,S2A_MSIL2A_20170803T094031_69_4,Mixed,Mixed
18,train,S2B_MSIL2A_20180515T112109_47_87,Urban fabric,Other
19,train,S2A_MSIL2A_20180430T094031_87_53,Other,Other
20,train,S2A_MSIL2A_20180205T100211_15_87,Other,Other
21,train,S2B_MSIL2A_20180201T093219_86_77,Other,Other
22,train,S2A_MSIL2A_20180413T095031_87_67,Other,Other
23,train,S2B_MSIL2A_20180522T093029_57_12,Other,Other
24,train,S2B_MSIL2A_20180224T112109_7_18,Other,Other
25,train,S2B_MSIL2A_20170709T094029_38_81,Other,Other
26,train,S2B_MSIL2A_20170829T105019_52_11,Mixed,Mixed
27,train,S2A_MSIL2A_20171104T095201_0_30,Other,Other
28,train,S2B_MSIL2A_20180506T105029_78_24,Mixed,Mixed
29,train,S2B_MSIL2A_20180421T100029_82_26,Other,Other
30,train,S2B_MSIL2A_20170801T095029_8_40,Other,Other
31,train,S2A_MSIL2A_20171002T112111_90_6,Other,Other
32,train,S2A_MSIL2A_20171121T112351_14_82,Other,Other
33,train,S2B_MSIL2A_20180220T114339_24_90,Mixed,Mixed
34,train,S2B_MSIL2A_20170808T094029_67_5,Other,Other
35,train,S2B_MSIL2A_20180421T100030_34_84,Other,Other
36,train,S2B_MSIL2A_20180428T095029_9_13,Mixed,Mixed
37,train,S2B_MSIL2A_20170906T101020_17_88,Other,Other
38,train,S2A_MSIL2A_20171002T112112_83_11,Other,Other
39,train,S2A_MSIL2A_20170613T101032_72_87,Other,Other
40,train,S2A_MSIL2A_20171104T095201_32_3,Other,Other
41,train,S2A_MSIL2A_20171221T112501_83_29,Other,Other
42,train,S2B_MSIL2A_20171206T094349_42_3,Other,Other
43,train,S2B_MSIL2A_20170914T093029_85_25,Other,Other
44,train,S2B_MSIL2A_20170825T093029_25_7,Mixed,Mixed
45,train,S2B_MSIL2A_20170924T93014_11_44,Other,Other
46,train,S2B_MSIL2A_20170927T094019_83_80,Other,Other
47,train,S2A_MSIL2A_20171002T094031_90_34,Other,Other
48,train,S2A_MSIL2A_20170704T112111_84_41,Other,Other
49,train,S2B_MSIL2A_20170927T094019_3_33,Other,Other
50,train,S2A_MSIL2A_20180430T094031_83_35,Mixed,Mixed
51,train,S2A_MSIL2A_20171015T095031_1_86,Mixed,Mixed
52,train,S2A_MSIL2A_20171002T112112_65_0,Other,Other
53,train,S2A_MSIL2A_20171002T094031_61_86,Other,Other
54,train,S2B_MSIL2A_20170927T94020_11_51,Other,Other
55,train,S2B_MSIL2A_20180224T112109_90_11,Other,Other
56,train,S2A_MSIL2A_20180413T95032_9_4,Other,Other
57,train,S2A_MSIL2A_20171002T094031_71_78,Other,Other
58,train,S2B_MSIL2A_20180525T094029_80_28,Other,Other
59,train,S2A_MSIL2A_20170818T103021_37_82,Other,Other
60,train,S2B_MSIL2A_20180521T100029_25_81,Other,Other
61,train,S2B_MSIL2A_20180421T114349_36_90,Other,Other
62,train,S2B_MSIL2A_20180515T112109_80_60,Urban fabric,Other
63,train,S2A_MSIL2A_20171208T093351_8_63,Mixed,Mixed
64,train,S2A_MSIL2A_20180430T094031_78_31,Other,Other
65,train,S2B_MSIL2A_20180515T112110_88_56,Other,Other
66,train,S2A_MSIL2A_20171015T095031_12_4,Mixed,Mixed
67,train,S2A_MSIL2A_20170613T101032_74_82,Other,Other
68,train,S2B_MSIL2A_20171226T094359_64_83,Other,Other
69,train,S2A_MSIL2A_20171002T094031_80_48,Other,Other
70,train,S2A_MSIL2A_20171002T112111_28_87,Other,Other
71,train,S2B_MSIL2A_20170801T095029_30_6,Other,Other
72,train,S2A_MSIL2A_20171002T112112_78_54,Other,Other
73,train,S2B_MSIL2A_20170927T094019_24_81,Other,Other
74,train,S2A_MSIL2A_20171002T112112_54_3,Other,Other
75,train,S2A_MSIL2A_20170818T103021_0_78,Mixed,Mixed
76,train,S2A_MSIL2A_20171002T94032_61_84,Other,Other
77,train,S2A_MSIL2A_20171015T095031_5_6,Mixed,Mixed
78,train,S2B_MSIL2A_20170914T093029_4_11,Other,Other
79,train,S2A_MSIL2A_20180430T094031_88_19,Other,Other
80,train,S2B_MSIL2A_20180224T112109_58_82,Other,Other
81,train,S2A_MSIL2A_20170704T112111_60_80,Mixed,Mixed
82,train,S2B_MSIL2A_20180421T100029_87_38,Mixed,Mixed
83,train,S2B_MSIL2A_20180515T112109_83_60,Urban fabric,Other
84,train,S2B_MSIL2A_20170808T094029_63_81,Other,Other
85,train,S2B_MSIL2A_20180521T100029_81_2,Mixed,Mixed
86,train,S2A_MSIL2A_20171221T112501_87_88,Other,Other
87,train,S2B_MSIL2A_20180506T105029_58_12,Other,Other
88,train,S2B_MSIL2A_20180224T112109_1_23,Mixed,Mixed
89,train,S2A_MSIL2A_20171121T112351_90_68,Other,Other
90,train,S2B_MSIL2A_20170825T093029_12_68,Other,Other
91,train,S2B_MSIL2A_20180224T112109_85_69,Other,Other
92,train,S2A_MSIL2A_20180510T094031_41_88,Other,Other
93,train,S2A_MSIL2A_20180506T100031_84_31,Mixed,Mixed
94,train,S2A_MSIL2A_20170818T103021_3_75,Mixed,Mixed
95,train,S2B_MSIL2A_20171219T095409_1_6,Other,Other
96,train,S2A_MSIL2A_20180318T093031_2_33,Other,Other
97,train,S2A_MSIL2A_20180507T93033_1_64,Other,Other
98,train,S2A_MSIL2A_20170613T101031_79_39,Other,Other
99,train,S2B_MSIL2A_20171219T095409_41_11,Other,Other
100,train,S2A_MSIL2A_20171002T112112_84_27,Other,Other
101,train,S2B_MSIL2A_20180421T100029_81_51,Mixed,Mixed
102,train,S2A_MSIL2A_20170818T103021_9_53,Mixed,Mixed
103,train,S2B_MSIL2A_20180421T100030_20_6,Other,Other
104,train,S2A_MSIL2A_20170813T112121_87_65,Other,Other
105,train,S2B_MSIL2A_20180522T093029_56_8,Other,Other
106,train,S2A_MSIL2A_20171002T112111_78_54,Other,Other
107,train,S2A_MSIL2A_20171221T112501_12_82,Other,Other
108,train,S2A_MSIL2A_20180430T094031_84_56,Other,Other
109,train,S2A_MSIL2A_20171002T112111_52_85,Other,Other
110,train,S2A_MSIL2A_20170905T095031_10_63,Other,Other
111,train,S2A_MSIL2A_20180506T100031_0_14,Other,Other
112,train,S2A_MSIL2A_20170813T112121_49_7,Other,Other
113,train,S2B_MSIL2A_20180421T100029_39_78,Other,Other
114,train,S2B_MSIL2A_20180421T100029_85_66,Other,Other
115,train,S2A_MSIL2A_20171104T095201_44_4,Other,Other
116,train,S2A_MSIL2A_20171201T112431_29_3,Other,Other
117,train,S2A_MSIL2A_20180413T95032_63_7,Mixed,Mixed
118,train,S2A_MSIL2A_20180225T114351_32_0,Other,Other
119,train,S2B_MSIL2A_20171219T095409_9_10,Other,Other
120,train,S2A_MSIL2A_20180318T093031_5_3,Other,Other
121,train,S2A_MSIL2A_20170704T112111_82_89,Other,Other
122,train,S2A_MSIL2A_20171002T094031_85_73,Other,Other
123,train,S2A_MSIL2A_20171002T112111_22_84,Other,Other
124,train,S2A_MSIL2A_20180413T095031_68_10,Other,Other
125,train,S2B_MSIL2A_20180220T114339_5_81,Other,Other
126,train,S2A_MSIL2A_20170803T094031_88_43,Other,Other
127,train,S2B_MSIL2A_20180515T112109_37_87,Urban fabric,Other
128,train,S2B_MSIL2A_20170831T095029_7_16,Other,Other
129,train,S2B_MSIL2A_20180201T093219_20_7,Other,Other
130,train,S2B_MSIL2A_20170914T093029_19_12,Other,Other
131,train,S2A_MSIL2A_20180430T094031_90_85,Other,Other
132,train,S2B_MSIL2A_20170817T101019_57_80,Other,Other
133,train,S2A_MSIL2A_20170813T112121_58_4,Other,Other
134,train,S2B_MSIL2A_20180428T095029_8_70,Mixed,Mixed
135,train,S2A_MSIL2A_20180508T104032_11_88,Other,Other
136,train,S2A_MSIL2A_20180318T093031_11_15,Other,Other
137,train,S2A_MSIL2A_20180506T100031_75_3,Mixed,Mixed
138,train,S2B_MSIL2A_20180326T112109_84_41,Other,Other
139,train,S2B_MSIL2A_20171219T095409_87_25,Mixed,Mixed
140,train,S2B_MSIL2A_20170927T094019_9_58,Other,Other
141,train,S2B_MSIL2A_20180224T112109_50_6,Other,Other
142,train,S2B_MSIL2A_20171206T094349_82_43,Other,Other
143,train,S2A_MSIL2A_20170813T112121_90_87,Other,Other
144,train,S2B_MSIL2A_20170914T093029_21_9,Other,Other
145,train,S2B_MSIL2A_20171219T095409_50_79,Mixed,Mixed
146,train,S2B_MSIL2A_20180326T112109_11_57,Other,Other
147,train,S2B_MSIL2A_20170930T095019_48_12,Mixed,Mixed
148,train,S2A_MSIL2A_20171121T112351_82_72,Other,Other
149,train,S2A_MSIL2A_20170813T112121_57_11,Other,Other
150,train,S2B_MSIL2A_20170831T095029_8_70,Other,Other
151,train,S2A_MSIL2A_20180510T094031_9_56,Other,Other
152,train,S2A_MSIL2A_20170813T112121_79_60,Other,Other
153,train,S2A_MSIL2A_20170613T101032_80_46,Other,Other
154,train,S2B_MSIL2A_20170927T94020_42_79,Other,Other
155,train,S2A_MSIL2A_20170613T101031_88_53,Other,Other
156,train,S2B_MSIL2A_20170808T094029_78_57,Other,Other
157,train,S2B_MSIL2A_20180224T112109_64_2,Other,Other
158,train,S2A_MSIL2A_20170813T112121_87_29,Other,Other
159,train,S2A_MSIL2A_20171002T094031_87_48,Other,Other
160,train,S2A_MSIL2A_20180510T094031_61_79,Other,Other
161,train,S2A_MSIL2A_20171002T094031_89_15,Other,Other
162,train,S2A_MSIL2A_20171208T093351_44_9,Mixed,Mixed
163,train,S2A_MSIL2A_20171221T112501_1_73,Mixed,Mixed
164,train,S2B_MSIL2A_20180421T114349_13_7,Other,Other
165,train,S2B_MSIL2A_20180421T100029_80_30,Other,Other
166,train,S2B_MSIL2A_20180224T112109_86_5,Other,Other
167,train,S2A_MSIL2A_20171002T094031_90_74,Urban fabric,Urban fabric
168,train,S2A_MSIL2A_20180413T95032_56_2,Other,Other
169,train,S2B_MSIL2A_20170906T101020_69_78,Other,Other
170,train,S2A_MSIL2A_20171015T095031_20_11,Other,Other
171,train,S2B_MSIL2A_20171107T105229_78_2,Other,Other
172,train,S2A_MSIL2A_20170617T113321_15_88,Other,Other
173,train,S2A_MSIL2A_20180430T094031_69_79,Other,Other
174,train,S2A_MSIL2A_20180225T114351_79_3,Other,Other
175,train,S2A_MSIL2A_20180413T095031_80_30,Mixed,Mixed
176,train,S2A_MSIL2A_20170813T112121_87_41,Other,Other
177,train,S2B_MSIL2A_20170906T101020_79_36,Other,Other
178,train,S2A_MSIL2A_20171221T112501_78_83,Other,Other
179,train,S2A_MSIL2A_20180318T093031_0_2,Mixed,Mixed
180,train,S2B_MSIL2A_20170831T095029_12_49,Mixed,Mixed
181,train,S2B_MSIL2A_20180201T093219_20_1,Other,Other
182,train,S2B_MSIL2A_20180421T114349_10_16,Other,Other
183,train,S2B_MSIL2A_20180428T095029_7_7,Mixed,Mixed
184,train,S2A_MSIL2A_20170905T095031_9_79,Other,Other
185,train,S2A_MSIL2A_20170803T094031_58_6,Other,Other
186,train,S2B_MSIL2A_20171206T094349_52_12,Other,Other
187,train,S2A_MSIL2A_20180225T114351_61_83,Mixed,Mixed
188,train,S2B_MSIL2A_20171107T105229_69_2,Mixed,Mixed
189,train,S2B_MSIL2A_20170914T093029_1_89,Other,Other
190,train,S2B_MSIL2A_20170831T095029_5_31,Mixed,Mixed
191,train,S2B_MSIL2A_20170914T93030_47_90,Other,Other
192,train,S2B_MSIL2A_20180421T100030_2_78,Mixed,Mixed
193,train,S2A_MSIL2A_20180413T095031_82_53,Other,Other
194,train,S2B_MSIL2A_20170825T093029_5_43,Other,Other
195,train,S2A_MSIL2A_20171002T112112_57_12,Other,Other
196,train,S2A_MSIL2A_20170613T101031_80_64,Mixed,Mixed
197,train,S2B_MSIL2A_20180421T100029_83_58,Mixed,Mixed
198,train,S2B_MSIL2A_20170808T094029_52_4,Other,Other
199,train,S2B_MSIL2A_20180515T112110_90_72,Mixed,Mixed
200,train,S2B_MSIL2A_20180515T112109_88_37,Urban fabric,Other
201,train,S2B_MSIL2A_20180201T093219_19_9,Other,Other
202,train,S2A_MSIL2A_20180526T100031_89_39,Other,Other
203,train,S2A_MSIL2A_20180318T093031_26_0,Other,Other
204,train,S2A_MSIL2A_20170813T112121_79_14,Other,Other
205,train,S2A_MSIL2A_20171101T094131_1_72,Other,Other
206,train,S2B_MSIL2A_20170808T094029_0_13,Mixed,Mixed
207,train,S2B_MSIL2A_20170927T094019_65_8,Other,Other
208,train,S2A_MSIL2A_20180506T100031_11_5,Mixed,Mixed
209,train,S2B_MSIL2A_20180224T112109_83_86,Other,Other
210,train,S2B_MSIL2A_20180421T100030_31_10,Mixed,Mixed
211,train,S2A_MSIL2A_20170617T113321_46_2,Mixed,Mixed
212,train,S2B_MSIL2A_20170831T095029_30_3,Mixed,Mixed
213,train,S2B_MSIL2A_20180525T94030_85_40,Other,Other
214,train,S2B_MSIL2A_20170924T093019_4_60,Other,Other
215,train,S2A_MSIL2A_20171015T095031_30_11,Other,Other
216,train,S2B_MSIL2A_20180421T100030_45_11,Mixed,Mixed
217,train,S2B_MSIL2A_20180422T093029_21_9,Other,Other
218,train,S2B_MSIL2A_20170923T100019_50_4,Other,Other
219,train,S2B_MSIL2A_20180521T100029_81_65,Other,Other
220,train,S2B_MSIL2A_20170927T094019_1_89,Other,Other
221,train,S2B_MSIL2A_20171107T105229_84_19,Mixed,Mixed
222,train,S2A_MSIL2A_20170704T112111_14_85,Other,Other
223,train,S2B_MSIL2A_20170831T095029_9_85,Mixed,Mixed
224,train,S2B_MSIL2A_20170829T105019_72_9,Mixed,Mixed
225,train,S2A_MSIL2A_20170613T101031_86_45,Other,Other
226,train,S2B_MSIL2A_20170709T094029_6_41,Mixed,Mixed
227,train,S2B_MSIL2A_20180421T114349_80_24,Other,Other
228,train,S2B_MSIL2A_20170817T101019_80_82,Other,Other
229,train,S2A_MSIL2A_20180506T100031_88_26,Mixed,Mixed
230,train,S2A_MSIL2A_20170720T100031_88_12,Other,Other
231,train,S2B_MSIL2A_20170808T094029_4_31,Other,Other
232,train,S2A_MSIL2A_20180510T094031_53_81,Other,Other
233,train,S2B_MSIL2A_20170914T93030_51_86,Other,Other
234,train,S2B_MSIL2A_20170924T93020_26_0,Other,Other
235,train,S2B_MSIL2A_20170709T094029_57_88,Other,Other
236,train,S2A_MSIL2A_20180430T094031_61_5,Other,Other
237,train,S2B_MSIL2A_20180428T095029_2_58,Other,Other
238,train,S2A_MSIL2A_20180508T104031_1_51,Other,Other
239,train,S2B_MSIL2A_20171112T114339_81_16,Other,Other
240,train,S2A_MSIL2A_20171104T095201_12_8,Mixed,Mixed
241,train,S2B_MSIL2A_20170719T094029_37_90,Other,Other
242,train,S2B_MSIL2A_20180515T094029_8_20,Mixed,Mixed
243,train,S2A_MSIL2A_20180318T093031_20_4,Other,Other
244,train,S2B_MSIL2A_20170824T100019_50_11,Mixed,Mixed
245,train,S2B_MSIL2A_20170924T93014_10_74,Mixed,Mixed
246,train,S2A_MSIL2A_20170813T112121_76_83,Other,Other
247,train,S2A_MSIL2A_20171002T112112_87_39,Other,Other
248,train,S2A_MSIL2A_20170813T112121_89_74,Other,Other
249,train,S2A_MSIL2A_20171221T112501_88_29,Other,Other
250,train,S2B_MSIL2A_20180421T100031_31_90,Other,Other
251,train,S2B_MSIL2A_20170924T93021_20_12,Other,Other
252,train,S2B_MSIL2A_20180421T114349_4_77,Other,Other
253,train,S2B_MSIL2A_20180326T112109_55_3,Other,Other
254,train,S2B_MSIL2A_20171219T095409_17_6,Other,Other
255,train,S2B_MSIL2A_20180326T112109_9_70,Other,Other
256,train,S2B_MSIL2A_20180522T093029_57_8,Other,Other
257,train,S2A_MSIL2A_20171104T095201_0_61,Other,Other
258,train,S2B_MSIL2A_20170906T101019_74_0,Other,Other
259,train,S2A_MSIL2A_20171201T112431_73_7,Other,Other
260,train,S2A_MSIL2A_20170803T094031_83_3,Other,Other
261,train,S2B_MSIL2A_20180525T094029_10_83,Other,Other
262,train,S2B_MSIL2A_20170808T094029_2_46,Other,Other
263,train,S2A_MSIL2A_20171015T095031_19_6,Other,Other
264,train,S2B_MSIL2A_20180421T100030_23_86,Other,Other
265,train,S2B_MSIL2A_20170825T093029_10_3,Other,Other
266,train,S2A_MSIL2A_20170813T112121_50_5,Other,Other
267,train,S2B_MSIL2A_20180428T095029_2_55,Other,Other
268,train,S2B_MSIL2A_20180515T112109_52_89,Urban fabric,Other
269,train,S2B_MSIL2A_20180525T94031_52_5,Other,Other
270,train,S2B_MSIL2A_20180224T112109_79_38,Other,Other
271,train,S2B_MSIL2A_20170927T94020_50_88,Other,Other
272,train,S2B_MSIL2A_20170927T094019_37_3,Other,Other
273,train,S2A_MSIL2A_20171002T94032_66_82,Other,Other
274,train,S2B_MSIL2A_20180525T94031_12_56,Other,Other
275,train,S2A_MSIL2A_20170704T112111_83_46,Other,Other
276,train,S2B_MSIL2A_20171107T105229_78_14,Mixed,Mixed
277,train,S2B_MSIL2A_20171206T094349_53_4,Other,Other
278,train,S2B_MSIL2A_20180515T112109_84_34,Urban fabric,Other
279,train,S2A_MSIL2A_20170813T112121_84_42,Other,Other
280,train,S2A_MSIL2A_20180506T100031_87_1,Other,Other
281,train,S2A_MSIL2A_20180508T104032_26_85,Other,Other
282,train,S2B_MSIL2A_20180515T112109_39_90,Urban fabric,Other
283,train,S2A_MSIL2A_20180228T101021_21_89,Other,Other
284,train,S2A_MSIL2A_20171002T94032_55_87,Other,Other
285,train,S2B_MSIL2A_20180428T095029_6_55,Mixed,Mixed
286,train,S2B_MSIL2A_20171219T095409_87_37,Other,Other
287,train,S2B_MSIL2A_20180525T094029_1_49,Other,Other
288,train,S2A_MSIL2A_20180430T094031_59_10,Mixed,Mixed
289,train,S2A_MSIL2A_20170818T103021_7_36,Mixed,Mixed
290,train,S2B_MSIL2A_20180421T100030_28_2,Mixed,Mixed
291,train,S2B_MSIL2A_20180515T112109_70_83,Urban fabric,Other
292,train,S2B_MSIL2A_20170817T101019_79_63,Other,Other
293,train,S2B_MSIL2A_20180421T114349_22_90,Mixed,Mixed
294,train,S2B_MSIL2A_20180521T100029_87_43,Other,Other
295,train,S2A_MSIL2A_20180413T095031_89_59,Other,Other
296,train,S2B_MSIL2A_20180224T112109_82_31,Other,Other
297,train,S2B_MSIL2A_20171206T094349_39_9,Other,Other
298,train,S2A_MSIL2A_20171002T112111_89_83,Mixed,Mixed
299,train,S2A_MSIL2A_20180430T094031_57_5,Other,Other
300,train,S2A_MSIL2A_20180205T100211_85_68,Other,Other
301,train,S2B_MSIL2A_20180225T105019_60_9,Mixed,Mixed
302,train,S2A_MSIL2A_20180506T100031_81_34,Mixed,Mixed
303,train,S2B_MSIL2A_20170825T093029_1_13,Other,Other
304,train,S2A_MSIL2A_20170818T103021_60_78,Mixed,Mixed
305,train,S2B_MSIL2A_20170914T93030_25_88,Other,Other
306,train,S2B_MSIL2A_20170923T100019_61_12,Mixed,Mixed
307,train,S2A_MSIL2A_20180430T094031_37_11,Other,Other
308,train,S2A_MSIL2A_20171002T112112_84_34,Other,Other
309,train,S2A_MSIL2A_20180430T094031_89_33,Other,Other
310,train,S2A_MSIL2A_20180430T094031_46_78,Other,Other
311,train,S2B_MSIL2A_20170831T95030_12_89,Mixed,Mixed
312,train,S2B_MSIL2A_20170927T094019_2_83,Other,Other
313,train,S2A_MSIL2A_20171121T112351_2_68,Other,Other
314,train,S2B_MSIL2A_20180201T093219_54_78,Mixed,Mixed
315,train,S2B_MSIL2A_20180326T112109_83_42,Other,Other
316,train,S2B_MSIL2A_20180421T100029_12_87,Other,Other
317,train,S2B_MSIL2A_20180525T94030_3_26,Other,Other
318,train,S2A_MSIL2A_20171221T112501_84_63,Other,Other
319,train,S2B_MSIL2A_20180326T112109_38_10,Other,Other
320,train,S2A_MSIL2A_20170613T101032_42_79,Other,Other
321,train,S2B_MSIL2A_20170824T100019_30_2,Mixed,Mixed
322,train,S2B_MSIL2A_20170808T094029_84_60,Other,Other
323,train,S2B_MSIL2A_20180515T112109_62_1,Urban fabric,Other
324,train,S2A_MSIL2A_20180413T095031_81_24,Other,Other
325,train,S2B_MSIL2A_20170927T94020_72_84,Other,Other
326,train,S2B_MSIL2A_20171206T094349_86_9,Other,Other
327,train,S2B_MSIL2A_20171107T105229_65_3,Mixed,Mixed
328,train,S2B_MSIL2A_20170817T101019_34_90,Other,Other
329,train,S2B_MSIL2A_20180515T112109_61_86,Urban fabric,Other
330,train,S2B_MSIL2A_20171219T095409_88_53,Other,Other
331,train,S2A_MSIL2A_20180430T094031_79_78,Other,Other
332,train,S2B_MSIL2A_20170927T094019_80_6,Other,Other
333,train,S2A_MSIL2A_20171121T112351_87_65,Other,Other
334,train,S2A_MSIL2A_20170803T094031_48_81,Other,Other
335,train,S2A_MSIL2A_20170818T103021_7_50,Mixed,Mixed
336,train,S2B_MSIL2A_20180421T114349_9_76,Other,Other
337,train,S2B_MSIL2A_20180506T105029_82_4,Mixed,Mixed
338,train,S2B_MSIL2A_20170914T093029_9_2,Other,Other
339,train,S2B_MSIL2A_20180421T100029_13_80,Other,Other
340,train,S2A_MSIL2A_20180318T093031_27_3,Other,Other
341,train,S2A_MSIL2A_20170704T112111_81_73,Other,Other
342,train,S2A_MSIL2A_20171002T094031_84_68,Mixed,Mixed
343,train,S2B_MSIL2A_20180502T093039_62_86,Mixed,Mixed
344,train,S2B_MSIL2A_20170829T105019_87_0,Mixed,Mixed
345,train,S2B_MSIL2A_20170924T93020_0_17,Mixed,Mixed
346,train,S2B_MSIL2A_20180224T112109_23_86,Other,Other
347,train,S2B_MSIL2A_20180326T112109_26_11,Other,Other
348,train,S2B_MSIL2A_20171206T094349_42_89,Other,Other
349,train,S2A_MSIL2A_20180430T094031_66_7,Other,Other
350,train,S2A_MSIL2A_20171015T095031_12_48,Mixed,Mixed
351,train,S2B_MSIL2A_20171015T104009_8_49,Other,Other
352,train,S2A_MSIL2A_20170613T101031_37_83,Other,Other
353,train,S2B_MSIL2A_20180515T112109_86_87,Urban fabric,Other
354,train,S2A_MSIL2A_20180430T094031_57_4,Other,Other
355,train,S2A_MSIL2A_20171002T112112_67_7,Other,Other
356,train,S2B_MSIL2A_20170914T093029_9_78,Other,Other
357,train,S2B_MSIL2A_20180421T100030_42_80,Other,Other
358,train,S2B_MSIL2A_20170927T094019_20_2,Other,Other
359,train,S2B_MSIL2A_20180421T100029_72_1,Mixed,Mixed
360,train,S2B_MSIL2A_20170709T094029_5_34,Other,Other
361,train,S2A_MSIL2A_20180413T95032_78_19,Mixed,Mixed
362,train,S2B_MSIL2A_20180525T94030_79_23,Other,Other
363,train,S2B_MSIL2A_20170719T094029_53_90,Other,Other
364,train,S2A_MSIL2A_20171002T112111_67_82,Other,Other
365,train,S2A_MSIL2A_20180413T95032_48_3,Mixed,Mixed
366,train,S2A_MSIL2A_20171002T112111_84_44,Other,Other
