model_name,epsilon,K,seed,plot,n_cal,nu,values,Method
BRR,0.10000,16,1,nu_var,100,0.00000,0.05836,RR
BRR,0.10000,16,1,nu_var,100,0.00000,0.05973,CVX
BRR,0.10000,16,1,nu_var,100,0.10000,0.06638,RR
BRR,0.10000,16,1,nu_var,100,0.10000,0.06781,CVX
BRR,0.10000,16,1,nu_var,100,0.20000,0.07240,RR
BRR,0.10000,16,1,nu_var,100,0.20000,0.07260,CVX
BRR,0.10000,16,1,nu_var,100,0.30000,0.07907,RR
BRR,0.10000,16,1,nu_var,100,0.30000,0.07819,CVX
BRR,0.10000,16,1,nu_var,100,0.40000,0.08751,RR
BRR,0.10000,16,1,nu_var,100,0.40000,0.08534,CVX
BRR,0.10000,16,1,nu_var,100,0.50000,0.09346,RR
BRR,0.10000,16,1,nu_var,100,0.50000,0.08922,CVX
BRR,0.10000,16,1,nu_var,100,0.60000,0.09834,RR
BRR,0.10000,16,1,nu_var,100,0.60000,0.09545,CVX
BRR,0.10000,16,1,nu_var,100,0.70000,0.10551,RR
BRR,0.10000,16,1,nu_var,100,0.70000,0.09990,CVX
BRR,0.10000,16,1,nu_var,100,0.80000,0.11061,RR
BRR,0.10000,16,1,nu_var,100,0.80000,0.10489,CVX
BRR,0.10000,16,1,nu_var,100,0.90000,0.11499,RR
BRR,0.10000,16,1,nu_var,100,0.90000,0.10955,CVX
BRR,0.10000,16,1,nu_var,100,1.00000,0.12175,RR
BRR,0.10000,16,1,nu_var,100,1.00000,0.11261,CVX
BRR,0.10000,16,1,nu_var,500,0.00000,0.02768,RR
BRR,0.10000,16,1,nu_var,500,0.00000,0.02690,CVX
BRR,0.10000,16,1,nu_var,500,0.10000,0.03166,RR
BRR,0.10000,16,1,nu_var,500,0.10000,0.03033,CVX
BRR,0.10000,16,1,nu_var,500,0.20000,0.03375,RR
BRR,0.10000,16,1,nu_var,500,0.20000,0.03415,CVX
BRR,0.10000,16,1,nu_var,500,0.30000,0.03706,RR
BRR,0.10000,16,1,nu_var,500,0.30000,0.03679,CVX
BRR,0.10000,16,1,nu_var,500,0.40000,0.03941,RR
BRR,0.10000,16,1,nu_var,500,0.40000,0.03856,CVX
BRR,0.10000,16,1,nu_var,500,0.50000,0.04366,RR
BRR,0.10000,16,1,nu_var,500,0.50000,0.04162,CVX
BRR,0.10000,16,1,nu_var,500,0.60000,0.04676,RR
BRR,0.10000,16,1,nu_var,500,0.60000,0.04455,CVX
BRR,0.10000,16,1,nu_var,500,0.70000,0.04917,RR
BRR,0.10000,16,1,nu_var,500,0.70000,0.04684,CVX
BRR,0.10000,16,1,nu_var,500,0.80000,0.05177,RR
BRR,0.10000,16,1,nu_var,500,0.80000,0.04925,CVX
BRR,0.10000,16,1,nu_var,500,0.90000,0.05433,RR
BRR,0.10000,16,1,nu_var,500,0.90000,0.05173,CVX
BRR,0.10000,16,1,nu_var,500,1.00000,0.05686,RR
BRR,0.10000,16,1,nu_var,500,1.00000,0.05432,CVX
BRR,0.10000,16,1,nu_var,1000,0.00000,0.01972,RR
BRR,0.10000,16,1,nu_var,1000,0.00000,0.02016,CVX
BRR,0.10000,16,1,nu_var,1000,0.10000,0.02210,RR
BRR,0.10000,16,1,nu_var,1000,0.10000,0.02165,CVX
BRR,0.10000,16,1,nu_var,1000,0.20000,0.02426,RR
BRR,0.10000,16,1,nu_var,1000,0.20000,0.02428,CVX
BRR,0.10000,16,1,nu_var,1000,0.30000,0.02665,RR
BRR,0.10000,16,1,nu_var,1000,0.30000,0.02588,CVX
BRR,0.10000,16,1,nu_var,1000,0.40000,0.02896,RR
BRR,0.10000,16,1,nu_var,1000,0.40000,0.02818,CVX
BRR,0.10000,16,1,nu_var,1000,0.50000,0.03068,RR
BRR,0.10000,16,1,nu_var,1000,0.50000,0.03003,CVX
BRR,0.10000,16,1,nu_var,1000,0.60000,0.03329,RR
BRR,0.10000,16,1,nu_var,1000,0.60000,0.03206,CVX
BRR,0.10000,16,1,nu_var,1000,0.70000,0.03478,RR
BRR,0.10000,16,1,nu_var,1000,0.70000,0.03391,CVX
BRR,0.10000,16,1,nu_var,1000,0.80000,0.03749,RR
BRR,0.10000,16,1,nu_var,1000,0.80000,0.03609,CVX
BRR,0.10000,16,1,nu_var,1000,0.90000,0.03949,RR
BRR,0.10000,16,1,nu_var,1000,0.90000,0.03760,CVX
BRR,0.10000,16,1,nu_var,1000,1.00000,0.04139,RR
BRR,0.10000,16,1,nu_var,1000,1.00000,0.03977,CVX
