model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.10000,0.80000,1,nlab,100,2,0.10291,RR
BRR,0.10000,0.80000,1,nlab,100,2,0.05910,CVX
BRR,0.10000,0.80000,1,nlab,100,4,0.10602,RR
BRR,0.10000,0.80000,1,nlab,100,4,0.08365,CVX
BRR,0.10000,0.80000,1,nlab,100,6,0.10647,RR
BRR,0.10000,0.80000,1,nlab,100,6,0.09470,CVX
BRR,0.10000,0.80000,1,nlab,100,8,0.10875,RR
BRR,0.10000,0.80000,1,nlab,100,8,0.10045,CVX
BRR,0.10000,0.80000,1,nlab,100,10,0.10927,RR
BRR,0.10000,0.80000,1,nlab,100,10,0.10198,CVX
BRR,0.10000,0.80000,1,nlab,100,12,0.11064,RR
BRR,0.10000,0.80000,1,nlab,100,12,0.10414,CVX
BRR,0.10000,0.80000,1,nlab,100,14,0.10922,RR
BRR,0.10000,0.80000,1,nlab,100,14,0.10378,CVX
BRR,0.10000,0.80000,1,nlab,100,16,0.11059,RR
BRR,0.10000,0.80000,1,nlab,100,16,0.10459,CVX
BRR,0.10000,0.80000,1,nlab,100,18,0.11248,RR
BRR,0.10000,0.80000,1,nlab,100,18,0.10696,CVX
BRR,0.10000,0.80000,1,nlab,100,20,0.11268,RR
BRR,0.10000,0.80000,1,nlab,100,20,0.10516,CVX
BRR,0.10000,0.80000,1,nlab,500,2,0.04905,RR
BRR,0.10000,0.80000,1,nlab,500,2,0.02697,CVX
BRR,0.10000,0.80000,1,nlab,500,4,0.04948,RR
BRR,0.10000,0.80000,1,nlab,500,4,0.04128,CVX
BRR,0.10000,0.80000,1,nlab,500,6,0.05133,RR
BRR,0.10000,0.80000,1,nlab,500,6,0.04470,CVX
BRR,0.10000,0.80000,1,nlab,500,8,0.05163,RR
BRR,0.10000,0.80000,1,nlab,500,8,0.04601,CVX
BRR,0.10000,0.80000,1,nlab,500,10,0.05101,RR
BRR,0.10000,0.80000,1,nlab,500,10,0.04897,CVX
BRR,0.10000,0.80000,1,nlab,500,12,0.05187,RR
BRR,0.10000,0.80000,1,nlab,500,12,0.04894,CVX
BRR,0.10000,0.80000,1,nlab,500,14,0.05181,RR
BRR,0.10000,0.80000,1,nlab,500,14,0.04950,CVX
BRR,0.10000,0.80000,1,nlab,500,16,0.05205,RR
BRR,0.10000,0.80000,1,nlab,500,16,0.05015,CVX
BRR,0.10000,0.80000,1,nlab,500,18,0.05299,RR
BRR,0.10000,0.80000,1,nlab,500,18,0.05019,CVX
BRR,0.10000,0.80000,1,nlab,500,20,0.05095,RR
BRR,0.10000,0.80000,1,nlab,500,20,0.04999,CVX
BRR,0.10000,0.80000,1,nlab,1000,2,0.03543,RR
BRR,0.10000,0.80000,1,nlab,1000,2,0.01995,CVX
BRR,0.10000,0.80000,1,nlab,1000,4,0.03579,RR
BRR,0.10000,0.80000,1,nlab,1000,4,0.02892,CVX
BRR,0.10000,0.80000,1,nlab,1000,6,0.03644,RR
BRR,0.10000,0.80000,1,nlab,1000,6,0.03226,CVX
BRR,0.10000,0.80000,1,nlab,1000,8,0.03773,RR
BRR,0.10000,0.80000,1,nlab,1000,8,0.03440,CVX
BRR,0.10000,0.80000,1,nlab,1000,10,0.03713,RR
BRR,0.10000,0.80000,1,nlab,1000,10,0.03509,CVX
BRR,0.10000,0.80000,1,nlab,1000,12,0.03724,RR
BRR,0.10000,0.80000,1,nlab,1000,12,0.03595,CVX
BRR,0.10000,0.80000,1,nlab,1000,14,0.03699,RR
BRR,0.10000,0.80000,1,nlab,1000,14,0.03502,CVX
BRR,0.10000,0.80000,1,nlab,1000,16,0.03716,RR
BRR,0.10000,0.80000,1,nlab,1000,16,0.03580,CVX
BRR,0.10000,0.80000,1,nlab,1000,18,0.03681,RR
BRR,0.10000,0.80000,1,nlab,1000,18,0.03619,CVX
BRR,0.10000,0.80000,1,nlab,1000,20,0.03823,RR
BRR,0.10000,0.80000,1,nlab,1000,20,0.03566,CVX
