model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.50000,0.20000,1,Klab,500,4,0.10968,RR
BRR,0.50000,0.20000,1,Klab,500,4,0.07368,CVX
BRR,0.50000,0.20000,1,Klab,1000,4,0.08025,RR
BRR,0.50000,0.20000,1,Klab,1000,4,0.05365,CVX
BRR,0.50000,0.20000,1,Klab,2000,4,0.05860,RR
BRR,0.50000,0.20000,1,Klab,2000,4,0.03831,CVX
BRR,0.50000,0.20000,1,Klab,5000,4,0.03827,RR
BRR,0.50000,0.20000,1,Klab,5000,4,0.02512,CVX
BRR,0.50000,0.20000,1,Klab,10000,4,0.02813,RR
BRR,0.50000,0.20000,1,Klab,10000,4,0.01814,CVX
BRR,0.50000,0.20000,1,Klab,20000,4,0.02036,RR
BRR,0.50000,0.20000,1,Klab,20000,4,0.01317,CVX
BRR,0.50000,0.20000,1,Klab,50000,4,0.01330,RR
BRR,0.50000,0.20000,1,Klab,50000,4,0.00855,CVX
BRR,0.50000,0.20000,1,Klab,500,8,0.11345,RR
BRR,0.50000,0.20000,1,Klab,500,8,0.09946,CVX
BRR,0.50000,0.20000,1,Klab,1000,8,0.08273,RR
BRR,0.50000,0.20000,1,Klab,1000,8,0.07212,CVX
BRR,0.50000,0.20000,1,Klab,2000,8,0.06037,RR
BRR,0.50000,0.20000,1,Klab,2000,8,0.05184,CVX
BRR,0.50000,0.20000,1,Klab,5000,8,0.03934,RR
BRR,0.50000,0.20000,1,Klab,5000,8,0.03420,CVX
BRR,0.50000,0.20000,1,Klab,10000,8,0.02847,RR
BRR,0.50000,0.20000,1,Klab,10000,8,0.02450,CVX
BRR,0.50000,0.20000,1,Klab,20000,8,0.02064,RR
BRR,0.50000,0.20000,1,Klab,20000,8,0.01787,CVX
BRR,0.50000,0.20000,1,Klab,50000,8,0.01360,RR
BRR,0.50000,0.20000,1,Klab,50000,8,0.01151,CVX
BRR,0.50000,0.20000,1,Klab,500,16,0.11733,RR
BRR,0.50000,0.20000,1,Klab,500,16,0.10803,CVX
BRR,0.50000,0.20000,1,Klab,1000,16,0.08496,RR
BRR,0.50000,0.20000,1,Klab,1000,16,0.07886,CVX
BRR,0.50000,0.20000,1,Klab,2000,16,0.06235,RR
BRR,0.50000,0.20000,1,Klab,2000,16,0.05768,CVX
BRR,0.50000,0.20000,1,Klab,5000,16,0.04074,RR
BRR,0.50000,0.20000,1,Klab,5000,16,0.03760,CVX
BRR,0.50000,0.20000,1,Klab,10000,16,0.02935,RR
BRR,0.50000,0.20000,1,Klab,10000,16,0.02723,CVX
BRR,0.50000,0.20000,1,Klab,20000,16,0.02133,RR
BRR,0.50000,0.20000,1,Klab,20000,16,0.01970,CVX
BRR,0.50000,0.20000,1,Klab,50000,16,0.01389,RR
BRR,0.50000,0.20000,1,Klab,50000,16,0.01287,CVX
