model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
B,0.10000,NA,1,Klab,500,4,0.05456,RR
B,0.10000,NA,1,Klab,500,4,0.04252,CVX
B,0.10000,NA,1,Klab,1000,4,0.03995,RR
B,0.10000,NA,1,Klab,1000,4,0.03113,CVX
B,0.10000,NA,1,Klab,2000,4,0.02879,RR
B,0.10000,NA,1,Klab,2000,4,0.02197,CVX
B,0.10000,NA,1,Klab,5000,4,0.01879,RR
B,0.10000,NA,1,Klab,5000,4,0.01421,CVX
B,0.10000,NA,1,Klab,10000,4,0.01340,RR
B,0.10000,NA,1,Klab,10000,4,0.01050,CVX
B,0.10000,NA,1,Klab,20000,4,0.00964,RR
B,0.10000,NA,1,Klab,20000,4,0.00717,CVX
B,0.10000,NA,1,Klab,50000,4,0.00628,RR
B,0.10000,NA,1,Klab,50000,4,0.00465,CVX
B,0.10000,NA,1,Klab,500,8,0.05650,RR
B,0.10000,NA,1,Klab,500,8,0.05250,CVX
B,0.10000,NA,1,Klab,1000,8,0.04071,RR
B,0.10000,NA,1,Klab,1000,8,0.03728,CVX
B,0.10000,NA,1,Klab,2000,8,0.02955,RR
B,0.10000,NA,1,Klab,2000,8,0.02706,CVX
B,0.10000,NA,1,Klab,5000,8,0.01906,RR
B,0.10000,NA,1,Klab,5000,8,0.01725,CVX
B,0.10000,NA,1,Klab,10000,8,0.01378,RR
B,0.10000,NA,1,Klab,10000,8,0.01232,CVX
B,0.10000,NA,1,Klab,20000,8,0.00971,RR
B,0.10000,NA,1,Klab,20000,8,0.00884,CVX
B,0.10000,NA,1,Klab,50000,8,0.00635,RR
B,0.10000,NA,1,Klab,50000,8,0.00568,CVX
B,0.10000,NA,1,Klab,500,16,0.05723,RR
B,0.10000,NA,1,Klab,500,16,0.05421,CVX
B,0.10000,NA,1,Klab,1000,16,0.04167,RR
B,0.10000,NA,1,Klab,1000,16,0.03950,CVX
B,0.10000,NA,1,Klab,2000,16,0.02997,RR
B,0.10000,NA,1,Klab,2000,16,0.02840,CVX
B,0.10000,NA,1,Klab,5000,16,0.01939,RR
B,0.10000,NA,1,Klab,5000,16,0.01849,CVX
B,0.10000,NA,1,Klab,10000,16,0.01382,RR
B,0.10000,NA,1,Klab,10000,16,0.01335,CVX
B,0.10000,NA,1,Klab,20000,16,0.01002,RR
B,0.10000,NA,1,Klab,20000,16,0.00961,CVX
B,0.10000,NA,1,Klab,50000,16,0.00648,RR
B,0.10000,NA,1,Klab,50000,16,0.00620,CVX
