model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
B,0.10000,NA,1,nlab,100,2,0.11178,RR
B,0.10000,NA,1,nlab,100,2,0.06000,CVX
B,0.10000,NA,1,nlab,100,4,0.11495,RR
B,0.10000,NA,1,nlab,100,4,0.09164,CVX
B,0.10000,NA,1,nlab,100,6,0.11865,RR
B,0.10000,NA,1,nlab,100,6,0.10154,CVX
B,0.10000,NA,1,nlab,100,8,0.11696,RR
B,0.10000,NA,1,nlab,100,8,0.10820,CVX
B,0.10000,NA,1,nlab,100,10,0.12035,RR
B,0.10000,NA,1,nlab,100,10,0.11187,CVX
B,0.10000,NA,1,nlab,100,12,0.12042,RR
B,0.10000,NA,1,nlab,100,12,0.11287,CVX
B,0.10000,NA,1,nlab,100,14,0.11912,RR
B,0.10000,NA,1,nlab,100,14,0.11556,CVX
B,0.10000,NA,1,nlab,100,16,0.12127,RR
B,0.10000,NA,1,nlab,100,16,0.11535,CVX
B,0.10000,NA,1,nlab,100,18,0.12235,RR
B,0.10000,NA,1,nlab,100,18,0.11439,CVX
B,0.10000,NA,1,nlab,100,20,0.12326,RR
B,0.10000,NA,1,nlab,100,20,0.11492,CVX
B,0.10000,NA,1,nlab,500,2,0.05339,RR
B,0.10000,NA,1,nlab,500,2,0.02793,CVX
B,0.10000,NA,1,nlab,500,4,0.05423,RR
B,0.10000,NA,1,nlab,500,4,0.04301,CVX
B,0.10000,NA,1,nlab,500,6,0.05471,RR
B,0.10000,NA,1,nlab,500,6,0.04901,CVX
B,0.10000,NA,1,nlab,500,8,0.05660,RR
B,0.10000,NA,1,nlab,500,8,0.05231,CVX
B,0.10000,NA,1,nlab,500,10,0.05636,RR
B,0.10000,NA,1,nlab,500,10,0.05431,CVX
B,0.10000,NA,1,nlab,500,12,0.05745,RR
B,0.10000,NA,1,nlab,500,12,0.05391,CVX
B,0.10000,NA,1,nlab,500,14,0.05753,RR
B,0.10000,NA,1,nlab,500,14,0.05474,CVX
B,0.10000,NA,1,nlab,500,16,0.05781,RR
B,0.10000,NA,1,nlab,500,16,0.05474,CVX
B,0.10000,NA,1,nlab,500,18,0.05722,RR
B,0.10000,NA,1,nlab,500,18,0.05432,CVX
B,0.10000,NA,1,nlab,500,20,0.05740,RR
B,0.10000,NA,1,nlab,500,20,0.05449,CVX
B,0.10000,NA,1,nlab,1000,2,0.03893,RR
B,0.10000,NA,1,nlab,1000,2,0.01900,CVX
B,0.10000,NA,1,nlab,1000,4,0.03928,RR
B,0.10000,NA,1,nlab,1000,4,0.03100,CVX
B,0.10000,NA,1,nlab,1000,6,0.04029,RR
B,0.10000,NA,1,nlab,1000,6,0.03407,CVX
B,0.10000,NA,1,nlab,1000,8,0.04073,RR
B,0.10000,NA,1,nlab,1000,8,0.03689,CVX
B,0.10000,NA,1,nlab,1000,10,0.04067,RR
B,0.10000,NA,1,nlab,1000,10,0.03879,CVX
B,0.10000,NA,1,nlab,1000,12,0.04133,RR
B,0.10000,NA,1,nlab,1000,12,0.03923,CVX
B,0.10000,NA,1,nlab,1000,14,0.04149,RR
B,0.10000,NA,1,nlab,1000,14,0.03954,CVX
B,0.10000,NA,1,nlab,1000,16,0.04097,RR
B,0.10000,NA,1,nlab,1000,16,0.03901,CVX
B,0.10000,NA,1,nlab,1000,18,0.04236,RR
B,0.10000,NA,1,nlab,1000,18,0.03965,CVX
B,0.10000,NA,1,nlab,1000,20,0.04155,RR
B,0.10000,NA,1,nlab,1000,20,0.03934,CVX
