model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.10000,0.20000,1,nlab,500,2,0.03346,RR
BRR,0.10000,0.20000,1,nlab,500,2,0.02829,CVX
BRR,0.10000,0.20000,1,nlab,500,2,0.03941,OLD
BRR,0.10000,0.20000,1,nlab,500,4,0.03338,RR
BRR,0.10000,0.20000,1,nlab,500,4,0.03108,CVX
BRR,0.10000,0.20000,1,nlab,500,4,0.05652,OLD
BRR,0.10000,0.20000,1,nlab,500,6,0.03427,RR
BRR,0.10000,0.20000,1,nlab,500,6,0.03185,CVX
BRR,0.10000,0.20000,1,nlab,500,6,0.07123,OLD
BRR,0.10000,0.20000,1,nlab,500,8,0.03467,RR
BRR,0.10000,0.20000,1,nlab,500,8,0.03207,CVX
BRR,0.10000,0.20000,1,nlab,500,8,0.08184,OLD
BRR,0.10000,0.20000,1,nlab,500,10,0.03328,RR
BRR,0.10000,0.20000,1,nlab,500,10,0.03349,CVX
BRR,0.10000,0.20000,1,nlab,500,10,0.09249,OLD
BRR,0.10000,0.20000,1,nlab,500,12,0.03465,RR
BRR,0.10000,0.20000,1,nlab,500,12,0.03330,CVX
BRR,0.10000,0.20000,1,nlab,500,12,0.10078,OLD
BRR,0.10000,0.20000,1,nlab,500,14,0.03507,RR
BRR,0.10000,0.20000,1,nlab,500,14,0.03418,CVX
BRR,0.10000,0.20000,1,nlab,500,14,0.11064,OLD
BRR,0.10000,0.20000,1,nlab,500,16,0.03478,RR
BRR,0.10000,0.20000,1,nlab,500,16,0.03331,CVX
BRR,0.10000,0.20000,1,nlab,500,16,0.11762,OLD
BRR,0.10000,0.20000,1,nlab,500,18,0.03475,RR
BRR,0.10000,0.20000,1,nlab,500,18,0.03416,CVX
BRR,0.10000,0.20000,1,nlab,500,18,0.12807,OLD
BRR,0.10000,0.20000,1,nlab,500,20,0.03434,RR
BRR,0.10000,0.20000,1,nlab,500,20,0.03335,CVX
BRR,0.10000,0.20000,1,nlab,500,20,0.13179,OLD
BRR,0.10000,0.20000,1,nlab,1000,2,0.02390,RR
BRR,0.10000,0.20000,1,nlab,1000,2,0.01941,CVX
BRR,0.10000,0.20000,1,nlab,1000,2,0.02738,OLD
BRR,0.10000,0.20000,1,nlab,1000,4,0.02459,RR
BRR,0.10000,0.20000,1,nlab,1000,4,0.02190,CVX
BRR,0.10000,0.20000,1,nlab,1000,4,0.04110,OLD
BRR,0.10000,0.20000,1,nlab,1000,6,0.02455,RR
BRR,0.10000,0.20000,1,nlab,1000,6,0.02271,CVX
BRR,0.10000,0.20000,1,nlab,1000,6,0.05066,OLD
BRR,0.10000,0.20000,1,nlab,1000,8,0.02405,RR
BRR,0.10000,0.20000,1,nlab,1000,8,0.02353,CVX
BRR,0.10000,0.20000,1,nlab,1000,8,0.05862,OLD
BRR,0.10000,0.20000,1,nlab,1000,10,0.02514,RR
BRR,0.10000,0.20000,1,nlab,1000,10,0.02326,CVX
BRR,0.10000,0.20000,1,nlab,1000,10,0.06623,OLD
BRR,0.10000,0.20000,1,nlab,1000,12,0.02468,RR
BRR,0.10000,0.20000,1,nlab,1000,12,0.02375,CVX
BRR,0.10000,0.20000,1,nlab,1000,12,0.07259,OLD
BRR,0.10000,0.20000,1,nlab,1000,14,0.02467,RR
BRR,0.10000,0.20000,1,nlab,1000,14,0.02439,CVX
BRR,0.10000,0.20000,1,nlab,1000,14,0.07815,OLD
BRR,0.10000,0.20000,1,nlab,1000,16,0.02446,RR
BRR,0.10000,0.20000,1,nlab,1000,16,0.02384,CVX
BRR,0.10000,0.20000,1,nlab,1000,16,0.08424,OLD
BRR,0.10000,0.20000,1,nlab,1000,18,0.02504,RR
BRR,0.10000,0.20000,1,nlab,1000,18,0.02465,CVX
BRR,0.10000,0.20000,1,nlab,1000,18,0.08820,OLD
BRR,0.10000,0.20000,1,nlab,1000,20,0.02434,RR
BRR,0.10000,0.20000,1,nlab,1000,20,0.02429,CVX
BRR,0.10000,0.20000,1,nlab,1000,20,0.09317,OLD
BRR,0.10000,0.20000,1,nlab,2000,2,0.01668,RR
BRR,0.10000,0.20000,1,nlab,2000,2,0.01388,CVX
BRR,0.10000,0.20000,1,nlab,2000,2,0.01973,OLD
BRR,0.10000,0.20000,1,nlab,2000,4,0.01732,RR
BRR,0.10000,0.20000,1,nlab,2000,4,0.01513,CVX
BRR,0.10000,0.20000,1,nlab,2000,4,0.02955,OLD
BRR,0.10000,0.20000,1,nlab,2000,6,0.01713,RR
BRR,0.10000,0.20000,1,nlab,2000,6,0.01614,CVX
BRR,0.10000,0.20000,1,nlab,2000,6,0.03649,OLD
BRR,0.10000,0.20000,1,nlab,2000,8,0.01746,RR
BRR,0.10000,0.20000,1,nlab,2000,8,0.01656,CVX
BRR,0.10000,0.20000,1,nlab,2000,8,0.04224,OLD
BRR,0.10000,0.20000,1,nlab,2000,10,0.01763,RR
BRR,0.10000,0.20000,1,nlab,2000,10,0.01713,CVX
BRR,0.10000,0.20000,1,nlab,2000,10,0.04731,OLD
BRR,0.10000,0.20000,1,nlab,2000,12,0.01724,RR
BRR,0.10000,0.20000,1,nlab,2000,12,0.01732,CVX
BRR,0.10000,0.20000,1,nlab,2000,12,0.05155,OLD
BRR,0.10000,0.20000,1,nlab,2000,14,0.01721,RR
BRR,0.10000,0.20000,1,nlab,2000,14,0.01749,CVX
BRR,0.10000,0.20000,1,nlab,2000,14,0.05618,OLD
BRR,0.10000,0.20000,1,nlab,2000,16,0.01739,RR
BRR,0.10000,0.20000,1,nlab,2000,16,0.01691,CVX
BRR,0.10000,0.20000,1,nlab,2000,16,0.06034,OLD
BRR,0.10000,0.20000,1,nlab,2000,18,0.01747,RR
BRR,0.10000,0.20000,1,nlab,2000,18,0.01707,CVX
BRR,0.10000,0.20000,1,nlab,2000,18,0.06386,OLD
