model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.10000,0.80000,1,Klab,500,4,0.05043,RR
BRR,0.10000,0.80000,1,Klab,500,4,0.03979,CVX
BRR,0.10000,0.80000,1,Klab,500,4,0.05111,OLD
BRR,0.10000,0.80000,1,Klab,1000,4,0.03623,RR
BRR,0.10000,0.80000,1,Klab,1000,4,0.02895,CVX
BRR,0.10000,0.80000,1,Klab,1000,4,0.03654,OLD
BRR,0.10000,0.80000,1,Klab,2000,4,0.02581,RR
BRR,0.10000,0.80000,1,Klab,2000,4,0.02096,CVX
BRR,0.10000,0.80000,1,Klab,2000,4,0.02608,OLD
BRR,0.10000,0.80000,1,Klab,5000,4,0.01673,RR
BRR,0.10000,0.80000,1,Klab,5000,4,0.01310,CVX
BRR,0.10000,0.80000,1,Klab,5000,4,0.01688,OLD
BRR,0.10000,0.80000,1,Klab,10000,4,0.01221,RR
BRR,0.10000,0.80000,1,Klab,10000,4,0.00968,CVX
BRR,0.10000,0.80000,1,Klab,10000,4,0.01207,OLD
BRR,0.10000,0.80000,1,Klab,20000,4,0.00864,RR
BRR,0.10000,0.80000,1,Klab,20000,4,0.00674,CVX
BRR,0.10000,0.80000,1,Klab,20000,4,0.00862,OLD
BRR,0.10000,0.80000,1,Klab,50000,4,0.00561,RR
BRR,0.10000,0.80000,1,Klab,50000,4,0.00442,CVX
BRR,0.10000,0.80000,1,Klab,50000,4,0.00548,OLD
BRR,0.10000,0.80000,1,Klab,500,8,0.05182,RR
BRR,0.10000,0.80000,1,Klab,500,8,0.04729,CVX
BRR,0.10000,0.80000,1,Klab,500,8,0.07685,OLD
BRR,0.10000,0.80000,1,Klab,1000,8,0.03664,RR
BRR,0.10000,0.80000,1,Klab,1000,8,0.03378,CVX
BRR,0.10000,0.80000,1,Klab,1000,8,0.05541,OLD
BRR,0.10000,0.80000,1,Klab,2000,8,0.02634,RR
BRR,0.10000,0.80000,1,Klab,2000,8,0.02418,CVX
BRR,0.10000,0.80000,1,Klab,2000,8,0.03940,OLD
BRR,0.10000,0.80000,1,Klab,5000,8,0.01708,RR
BRR,0.10000,0.80000,1,Klab,5000,8,0.01595,CVX
BRR,0.10000,0.80000,1,Klab,5000,8,0.02583,OLD
BRR,0.10000,0.80000,1,Klab,10000,8,0.01234,RR
BRR,0.10000,0.80000,1,Klab,10000,8,0.01141,CVX
BRR,0.10000,0.80000,1,Klab,10000,8,0.01831,OLD
BRR,0.10000,0.80000,1,Klab,20000,8,0.00884,RR
BRR,0.10000,0.80000,1,Klab,20000,8,0.00810,CVX
BRR,0.10000,0.80000,1,Klab,20000,8,0.01311,OLD
BRR,0.10000,0.80000,1,Klab,50000,8,0.00579,RR
BRR,0.10000,0.80000,1,Klab,50000,8,0.00516,CVX
BRR,0.10000,0.80000,1,Klab,50000,8,0.00866,OLD
BRR,0.10000,0.80000,1,Klab,500,16,0.05281,RR
BRR,0.10000,0.80000,1,Klab,500,16,0.05026,CVX
BRR,0.10000,0.80000,1,Klab,500,16,0.11426,OLD
BRR,0.10000,0.80000,1,Klab,1000,16,0.03826,RR
BRR,0.10000,0.80000,1,Klab,1000,16,0.03579,CVX
BRR,0.10000,0.80000,1,Klab,1000,16,0.08130,OLD
BRR,0.10000,0.80000,1,Klab,2000,16,0.02775,RR
BRR,0.10000,0.80000,1,Klab,2000,16,0.02568,CVX
BRR,0.10000,0.80000,1,Klab,2000,16,0.05849,OLD
BRR,0.10000,0.80000,1,Klab,5000,16,0.01761,RR
BRR,0.10000,0.80000,1,Klab,5000,16,0.01667,CVX
BRR,0.10000,0.80000,1,Klab,5000,16,0.03749,OLD
BRR,0.10000,0.80000,1,Klab,10000,16,0.01259,RR
BRR,0.10000,0.80000,1,Klab,10000,16,0.01210,CVX
BRR,0.10000,0.80000,1,Klab,10000,16,0.02676,OLD
BRR,0.10000,0.80000,1,Klab,20000,16,0.00921,RR
BRR,0.10000,0.80000,1,Klab,20000,16,0.00875,CVX
BRR,0.10000,0.80000,1,Klab,20000,16,0.01915,OLD
BRR,0.10000,0.80000,1,Klab,50000,16,0.00579,RR
BRR,0.10000,0.80000,1,Klab,50000,16,0.00554,CVX
BRR,0.10000,0.80000,1,Klab,50000,16,0.01248,OLD
