model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
block,0.10000,none,1,Klab,500,4,0.05474,RR
block,0.10000,none,1,Klab,500,4,0.04317,CVX
block,0.10000,none,1,Klab,500,4,0.04857,OLD
block,0.10000,none,1,Klab,1000,4,0.03993,RR
block,0.10000,none,1,Klab,1000,4,0.03104,CVX
block,0.10000,none,1,Klab,1000,4,0.03435,OLD
block,0.10000,none,1,Klab,2000,4,0.02875,RR
block,0.10000,none,1,Klab,2000,4,0.02214,CVX
block,0.10000,none,1,Klab,2000,4,0.02538,OLD
block,0.10000,none,1,Klab,5000,4,0.01867,RR
block,0.10000,none,1,Klab,5000,4,0.01447,CVX
block,0.10000,none,1,Klab,5000,4,0.01629,OLD
block,0.10000,none,1,Klab,10000,4,0.01354,RR
block,0.10000,none,1,Klab,10000,4,0.01014,CVX
block,0.10000,none,1,Klab,10000,4,0.01161,OLD
block,0.10000,none,1,Klab,20000,4,0.00969,RR
block,0.10000,none,1,Klab,20000,4,0.00724,CVX
block,0.10000,none,1,Klab,20000,4,0.00829,OLD
block,0.10000,none,1,Klab,50000,4,0.00625,RR
block,0.10000,none,1,Klab,50000,4,0.00465,CVX
block,0.10000,none,1,Klab,50000,4,0.00539,OLD
block,0.10000,none,1,Klab,500,8,0.05625,RR
block,0.10000,none,1,Klab,500,8,0.05178,CVX
block,0.10000,none,1,Klab,500,8,0.07531,OLD
block,0.10000,none,1,Klab,1000,8,0.04107,RR
block,0.10000,none,1,Klab,1000,8,0.03706,CVX
block,0.10000,none,1,Klab,1000,8,0.05419,OLD
block,0.10000,none,1,Klab,2000,8,0.02940,RR
block,0.10000,none,1,Klab,2000,8,0.02682,CVX
block,0.10000,none,1,Klab,2000,8,0.03866,OLD
block,0.10000,none,1,Klab,5000,8,0.01901,RR
block,0.10000,none,1,Klab,5000,8,0.01723,CVX
block,0.10000,none,1,Klab,5000,8,0.02506,OLD
block,0.10000,none,1,Klab,10000,8,0.01373,RR
block,0.10000,none,1,Klab,10000,8,0.01232,CVX
block,0.10000,none,1,Klab,10000,8,0.01793,OLD
block,0.10000,none,1,Klab,20000,8,0.00997,RR
block,0.10000,none,1,Klab,20000,8,0.00885,CVX
block,0.10000,none,1,Klab,20000,8,0.01289,OLD
block,0.10000,none,1,Klab,50000,8,0.00640,RR
block,0.10000,none,1,Klab,50000,8,0.00570,CVX
block,0.10000,none,1,Klab,50000,8,0.00842,OLD
block,0.10000,none,1,Klab,500,16,0.05800,RR
block,0.10000,none,1,Klab,500,16,0.05457,CVX
block,0.10000,none,1,Klab,500,16,0.11305,OLD
block,0.10000,none,1,Klab,1000,16,0.04274,RR
block,0.10000,none,1,Klab,1000,16,0.03979,CVX
block,0.10000,none,1,Klab,1000,16,0.08032,OLD
block,0.10000,none,1,Klab,2000,16,0.03022,RR
block,0.10000,none,1,Klab,2000,16,0.02852,CVX
block,0.10000,none,1,Klab,2000,16,0.05784,OLD
block,0.10000,none,1,Klab,5000,16,0.01950,RR
block,0.10000,none,1,Klab,5000,16,0.01854,CVX
block,0.10000,none,1,Klab,5000,16,0.03701,OLD
block,0.10000,none,1,Klab,10000,16,0.01399,RR
block,0.10000,none,1,Klab,10000,16,0.01330,CVX
block,0.10000,none,1,Klab,10000,16,0.02639,OLD
block,0.10000,none,1,Klab,20000,16,0.00999,RR
block,0.10000,none,1,Klab,20000,16,0.00944,CVX
block,0.10000,none,1,Klab,20000,16,0.01905,OLD
block,0.10000,none,1,Klab,50000,16,0.00659,RR
block,0.10000,none,1,Klab,50000,16,0.00619,CVX
block,0.10000,none,1,Klab,50000,16,0.01232,OLD
