model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
block,0.10000,none,1,nlab,100,2,0.11319,RR
block,0.10000,none,1,nlab,100,2,0.06119,CVX
block,0.10000,none,1,nlab,100,2,0.05963,OLD
block,0.10000,none,1,nlab,100,4,0.11581,RR
block,0.10000,none,1,nlab,100,4,0.09181,CVX
block,0.10000,none,1,nlab,100,4,0.10637,OLD
block,0.10000,none,1,nlab,100,6,0.11771,RR
block,0.10000,none,1,nlab,100,6,0.10366,CVX
block,0.10000,none,1,nlab,100,6,0.13862,OLD
block,0.10000,none,1,nlab,100,8,0.11827,RR
block,0.10000,none,1,nlab,100,8,0.10819,CVX
block,0.10000,none,1,nlab,100,8,0.16979,OLD
block,0.10000,none,1,nlab,100,10,0.12252,RR
block,0.10000,none,1,nlab,100,10,0.11301,CVX
block,0.10000,none,1,nlab,100,10,0.18903,OLD
block,0.10000,none,1,nlab,100,12,0.12107,RR
block,0.10000,none,1,nlab,100,12,0.11344,CVX
block,0.10000,none,1,nlab,100,12,0.21437,OLD
block,0.10000,none,1,nlab,100,14,0.12135,RR
block,0.10000,none,1,nlab,100,14,0.11383,CVX
block,0.10000,none,1,nlab,100,14,0.24869,OLD
block,0.10000,none,1,nlab,100,16,0.12223,RR
block,0.10000,none,1,nlab,100,16,0.11607,CVX
block,0.10000,none,1,nlab,100,16,0.25469,OLD
block,0.10000,none,1,nlab,100,18,0.12322,RR
block,0.10000,none,1,nlab,100,18,0.11644,CVX
block,0.10000,none,1,nlab,100,18,0.28158,OLD
block,0.10000,none,1,nlab,100,20,0.12323,RR
block,0.10000,none,1,nlab,100,20,0.11629,CVX
block,0.10000,none,1,nlab,100,20,0.28576,OLD
block,0.10000,none,1,nlab,500,2,0.05415,RR
block,0.10000,none,1,nlab,500,2,0.02786,CVX
block,0.10000,none,1,nlab,500,2,0.02716,OLD
block,0.10000,none,1,nlab,500,4,0.05442,RR
block,0.10000,none,1,nlab,500,4,0.04261,CVX
block,0.10000,none,1,nlab,500,4,0.04836,OLD
block,0.10000,none,1,nlab,500,6,0.05621,RR
block,0.10000,none,1,nlab,500,6,0.04863,CVX
block,0.10000,none,1,nlab,500,6,0.06367,OLD
block,0.10000,none,1,nlab,500,8,0.05642,RR
block,0.10000,none,1,nlab,500,8,0.05032,CVX
block,0.10000,none,1,nlab,500,8,0.07596,OLD
block,0.10000,none,1,nlab,500,10,0.05766,RR
block,0.10000,none,1,nlab,500,10,0.05292,CVX
block,0.10000,none,1,nlab,500,10,0.08693,OLD
block,0.10000,none,1,nlab,500,12,0.05710,RR
block,0.10000,none,1,nlab,500,12,0.05409,CVX
block,0.10000,none,1,nlab,500,12,0.09620,OLD
block,0.10000,none,1,nlab,500,14,0.05684,RR
block,0.10000,none,1,nlab,500,14,0.05499,CVX
block,0.10000,none,1,nlab,500,14,0.10536,OLD
block,0.10000,none,1,nlab,500,16,0.05872,RR
block,0.10000,none,1,nlab,500,16,0.05437,CVX
block,0.10000,none,1,nlab,500,16,0.11346,OLD
block,0.10000,none,1,nlab,500,18,0.05891,RR
block,0.10000,none,1,nlab,500,18,0.05531,CVX
block,0.10000,none,1,nlab,500,18,0.12351,OLD
block,0.10000,none,1,nlab,500,20,0.05901,RR
block,0.10000,none,1,nlab,500,20,0.05559,CVX
block,0.10000,none,1,nlab,500,20,0.12771,OLD
block,0.10000,none,1,nlab,1000,2,0.03920,RR
block,0.10000,none,1,nlab,1000,2,0.01942,CVX
block,0.10000,none,1,nlab,1000,2,0.01908,OLD
block,0.10000,none,1,nlab,1000,4,0.04104,RR
block,0.10000,none,1,nlab,1000,4,0.03046,CVX
block,0.10000,none,1,nlab,1000,4,0.03513,OLD
block,0.10000,none,1,nlab,1000,6,0.04075,RR
block,0.10000,none,1,nlab,1000,6,0.03455,CVX
block,0.10000,none,1,nlab,1000,6,0.04605,OLD
block,0.10000,none,1,nlab,1000,8,0.04010,RR
block,0.10000,none,1,nlab,1000,8,0.03706,CVX
block,0.10000,none,1,nlab,1000,8,0.05385,OLD
block,0.10000,none,1,nlab,1000,10,0.04211,RR
block,0.10000,none,1,nlab,1000,10,0.03892,CVX
block,0.10000,none,1,nlab,1000,10,0.06240,OLD
block,0.10000,none,1,nlab,1000,12,0.04123,RR
block,0.10000,none,1,nlab,1000,12,0.03884,CVX
block,0.10000,none,1,nlab,1000,12,0.06863,OLD
block,0.10000,none,1,nlab,1000,14,0.04160,RR
block,0.10000,none,1,nlab,1000,14,0.03946,CVX
block,0.10000,none,1,nlab,1000,14,0.07502,OLD
block,0.10000,none,1,nlab,1000,16,0.04218,RR
block,0.10000,none,1,nlab,1000,16,0.03936,CVX
block,0.10000,none,1,nlab,1000,16,0.08079,OLD
block,0.10000,none,1,nlab,1000,18,0.04280,RR
block,0.10000,none,1,nlab,1000,18,0.03989,CVX
block,0.10000,none,1,nlab,1000,18,0.08510,OLD
block,0.10000,none,1,nlab,1000,20,0.04204,RR
block,0.10000,none,1,nlab,1000,20,0.03945,CVX
block,0.10000,none,1,nlab,1000,20,0.09004,OLD
