data,num_var,K,signal,n_train,n_cal,epsilon,nu,contamination,model_name,estimate,seed,Coverage,Size,Label,Method,Guarantee,Alpha,random_state
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.92650,7.87900,marginal,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.96850,8.02362,0,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.92126,8.22835,1,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.92254,8.23944,2,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.92366,8.04580,3,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.94697,7.56818,4,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,1.00000,7.67568,5,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.95413,7.24771,6,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.95495,7.45946,7,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.93182,8.29545,8,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.92437,8.15126,9,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.84615,7.61538,10,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.86154,7.68462,11,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.87402,8.01575,12,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.94215,7.59504,13,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.90840,7.64122,14,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.96667,8.40833,15,Standard,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.97950,13.26800,marginal,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,1.00000,13.25984,0,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.98425,13.28346,1,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.97887,13.31690,2,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,1.00000,13.30534,3,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,1.00000,13.21970,4,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,1.00000,13.23423,5,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,1.00000,13.21101,6,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.98198,13.28829,7,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.98485,13.28030,8,Adaptive,marginal,0.10000,1
synthetic1,10,16,1,1000,1000,0.10000,none,block,RFC,none,1,0.96639,13.26891,9,Adaptive,marginal,0.10000,1
