"Package","Version"
"ADGofTest","0.3"
"AER","1.2-14"
"BB","2019.10-1"
"BBmisc","1.13"
"BH","1.90.0-1"
"BSDA","1.2.2"
"CVXR","1.0-15"
"Cairo","1.6-2"
"DBI","1.2.3"
"DEoptimR","1.1-3-1"
"DT","0.33"
"Deriv","4.1.6"
"ECOSolveR","0.5.5"
"EnvStats","3.0.0"
"FNN","1.1.4.1"
"FactoMineR","2.11"
"Formula","1.2-5"
"GGally","2.2.1"
"GPArotation","2024.3-1"
"GWmodel","2.4-1"
"GoFKernel","2.1-3"
"Hmisc","5.2-2"
"ISLR","1.4"
"KMsurv","0.1-5"
"KernSmooth","2.23-26"
"LearnBayes","2.15.1"
"MASS","7.3-64"
"MLmetrics","1.1.3"
"MatchIt","4.7.0"
"Matrix","1.7-2"
"MatrixModels","0.5-3"
"ModelMetrics","1.2.2.2"
"PRROC","1.3.1"
"ParamHelpers","1.14.2"
"R.matlab","3.7.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.0"
"R.utils","2.12.3"
"R6","2.6.1"
"RColorBrewer","1.1-3"
"RCurl","1.98-1.16"
"RLRsim","3.1-8"
"ROCR","1.0-11"
"Rcmdr","2.9-5"
"RcmdrMisc","2.9-1"
"Rcpp","1.1.1"
"RcppArmadillo","14.2.2-1"
"RcppEigen","0.3.4.0.2"
"RcppProgress","0.4.2"
"RcppTOML","0.2.2"
"RcppThread","2.2.0"
"Rdpack","2.6.2"
"RgoogleMaps","1.5.1"
"Rmpfr","1.1-1"
"Rttf2pt1","1.3.12"
"S7","0.2.1"
"SQUAREM","2021.1"
"SparseM","1.84-2"
"TH.data","1.1-3"
"TSA","1.3.1"
"TSP","1.2-4"
"TTR","0.24.4"
"TeachingDemos","2.13"
"Thermimage","4.1.3"
"XML","3.99-0.18"
"abind","1.4-8"
"akima","0.6-3.4"
"alabama","2023.1.0"
"animation","2.7"
"aplore3","0.9"
"aplot","0.2.4"
"aplpack","1.3.5"
"arm","1.14-4"
"arrow","22.0.0"
"ash","1.0-15"
"askpass","1.2.1"
"assertthat","0.2.1"
"audio","0.1-11"
"automap","1.1-20"
"babynames","1.0.1"
"backports","1.5.0"
"base","4.4.2"
"base64enc","0.1-3"
"basefun","1.2-3"
"bayesm","3.1-6"
"beepr","2.0"
"bit","4.5.0.1"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"blockCV","3.2-0"
"bmp","0.3"
"boot","1.3-31"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.11"
"broom.helpers","1.18.0"
"bslib","0.9.0"
"ca","0.71.1"
"caTools","1.18.3"
"cachem","1.1.0"
"calculus","1.0.1"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cards","0.4.0"
"caret","7.0-1"
"cellranger","1.1.0"
"checkmate","2.3.3"
"chk","0.10.0"
"class","7.3-23"
"classInt","0.4-11"
"cli","3.6.5"
"clipr","0.8.0"
"clock","0.7.2"
"cluster","2.1.8"
"cobalt","4.5.5"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-2"
"colourpicker","1.3.0"
"commonmark","2.0.0"
"compiler","4.4.2"
"compositions","2.0-8"
"coneproj","1.20"
"conflicted","1.2.0"
"conformalInference","1.1"
"conformalInference.fd","1.1.1"
"conformalInference.multi","1.1.1"
"conquer","1.3.3"
"copula","1.1-4"
"corpcor","1.6.10"
"corrplot","0.95"
"corrr","0.4.4"
"cowplot","1.1.3"
"cpp11","0.5.3"
"crayon","1.5.3"
"credentials","2.0.2"
"crosstalk","1.2.2"
"crul","1.5.0"
"cubature","2.1.1"
"curl","7.0.0"
"data.table","1.18.0"
"datasets","4.4.2"
"dbplyr","2.5.0"
"dbscan","1.2.2"
"deSolve","1.40"
"decido","0.3.0"
"deldir","2.0-4"
"dendextend","1.19.0"
"desc","1.4.3"
"devtools","2.4.5"
"diagram","1.6.5"
"dichromat","2.0-0.1"
"diffobj","0.3.5"
"digest","0.6.39"
"doBy","4.6.24"
"doParallel","1.0.17"
"dotCall64","1.2"
"downlit","0.4.4"
"downloader","0.4"
"dplyr","1.1.4"
"dtplyr","1.3.1"
"e1071","1.7-16"
"earth","5.3.4"
"effects","4.2-2"
"ellipse","0.5.0"
"ellipsis","0.3.2"
"emmeans","1.10.6"
"estimability","1.5.1"
"evaluate","1.0.5"
"exactRankTests","0.8-35"
"expm","1.0-0"
"extrafont","0.19"
"extrafontdb","1.0"
"factoextra","1.0.7"
"fansi","1.0.6"
"farver","2.1.2"
"fastDummies","1.7.5"
"fastmap","1.2.0"
"fastmatch","1.1-6"
"fastmatrix","0.5-7721"
"fda","6.2.0"
"fdadensity","0.1.2"
"fdapace","0.6.0"
"fdatest","2.1.1"
"fds","1.8"
"feather","0.3.5"
"fields","16.3"
"flashClust","1.01-2"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontawesome","0.5.3"
"fontquiver","0.2.1"
"forcats","1.0.0"
"foreach","1.5.2"
"forecTheta","2.6.2"
"forecast","8.23.0"
"foreign","0.8-88"
"fracdiff","1.5-3"
"freqdom","2.0.5"
"freqdom.fda","1.0.1"
"fs","1.6.6"
"future","1.34.0"
"future.apply","1.11.3"
"gamlss","5.4-22"
"gamlss.data","6.0-6"
"gamlss.demo","4.3-3"
"gamlss.dist","6.1-1"
"gamlss.tr","5.1-9"
"gamm4","0.2-6"
"gargle","1.5.2"
"gclus","1.3.3"
"gdtools","0.4.1"
"geigen","2.3"
"generics","0.1.4"
"geoR","1.9-4"
"geojsonsf","2.0.3"
"geometries","0.2.4"
"geosphere","1.5-20"
"gert","2.1.4"
"gfonts","0.2.0"
"ggExtra","0.10.1"
"ggbreak","0.1.3"
"ggcorrplot","0.1.4.1"
"ggforce","0.5.0"
"ggfortify","0.4.17"
"ggfun","0.1.8"
"ggjoy","0.4.1"
"ggmap","4.0.2"
"ggnewscale","0.5.0"
"ggplot2","4.0.1"
"ggplotify","0.1.2"
"ggpubr","0.6.0"
"ggrepel","0.9.6"
"ggridges","0.5.6"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggspatial","1.1.9"
"ggstats","0.8.0"
"ggtext","0.1.2"
"gh","1.4.1"
"gitcreds","0.1.2"
"glmnet","4.1-8"
"globals","0.16.3"
"glue","1.8.0"
"gmp","0.7-5"
"goftest","1.2-3"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gower","1.0.2"
"gplots","3.2.0"
"grDevices","4.4.2"
"graphics","4.4.2"
"grid","4.4.2"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gridtext","0.1.5"
"grpreg","3.5.0"
"gsl","2.1-8"
"gstat","2.1-2"
"gtable","0.3.6"
"gtools","3.9.5"
"hardhat","1.4.0"
"hash","2.2.6.3"
"haven","2.5.5"
"hdrcde","3.4"
"here","1.0.1"
"hexbin","1.28.5"
"highr","0.11"
"hms","1.1.3"
"hrbrthemes","0.8.7"
"htmlTable","2.4.3"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpcode","0.3.0"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.1.0"
"ids","1.0.1"
"igraph","2.2.1"
"imputeTS","3.3"
"ineq","0.2-13"
"ini","0.3.1"
"insight","1.0.1"
"interp","1.1-6"
"intervals","0.15.5"
"ipred","0.9-15"
"isoband","0.3.0"
"iterators","1.0.14"
"ivreg","0.6-5"
"jpeg","0.1-10"
"jquerylib","0.1.4"
"jsonify","1.2.2"
"jsonlite","2.0.0"
"kdecopula","0.9.2"
"kernlab","0.9-33"
"kknn","1.4.1"
"km.ci","0.5-6"
"knitr","1.51"
"ks","1.14.3"
"labeling","0.4.3"
"labelled","2.14.0"
"later","1.4.5"
"latex2exp","0.9.8"
"lattice","0.22-6"
"latticeExtra","0.6-30"
"lava","1.8.1"
"lazyeval","0.2.2"
"lbfgs","1.2.1.2"
"leafem","0.2.3"
"leaflet","2.2.2"
"leaflet.providers","2.0.0"
"leafpop","0.1.0"
"leafsync","0.1.0"
"leaps","3.2"
"learnr","0.11.6"
"lhs","1.2.0"
"lifecycle","1.0.5"
"listenv","0.9.1"
"litedown","0.9"
"lme4","1.1-36"
"lmtest","0.9-40"
"locfit","1.5-9.10"
"longmemo","1.1-3"
"lpdensity","2.5"
"lubridate","1.9.4"
"lwgeom","0.2-14"
"madness","0.2.8"
"magic","1.6-1"
"magick","2.9.0"
"magrittr","2.0.4"
"maplegend","0.3.0"
"mapproj","1.2.11"
"maps","3.4.2.1"
"mapsf","1.0.0"
"mapview","2.11.4"
"markdown","2.0"
"matrixStats","1.5.0"
"matrixcalc","1.0-6"
"maxstat","0.7-25"
"mclust","6.1.1"
"memoise","2.0.1"
"methods","4.4.2"
"mgcv","1.9-1"
"mi","1.1"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.1.1"
"minpack.lm","1.2-4"
"minqa","1.2.8"
"misc3d","0.9-1"
"mitools","2.4"
"mlbench","2.1-6"
"mlr","2.19.2"
"mlrMBO","1.1.5.1"
"mlt","1.6-6"
"mnormt","2.1.1"
"modelr","0.1.11"
"moments","0.14.1"
"moxier","0.0.0.9002"
"multcomp","1.4-26"
"multcompView","0.1-10"
"multicool","1.0.1"
"munsell","0.5.1"
"mvnormtest","0.1-9-3"
"mvoutlier","2.1.1"
"mvtnorm","1.3-3"
"nlme","3.1-166"
"nloptr","2.1.1"
"nnet","7.3-20"
"nortest","1.0-4"
"numDeriv","2016.8-1.1"
"nycflights13","1.0.2"
"openssl","2.3.4"
"openxlsx","4.2.8"
"orthopolynom","1.0-6.1"
"osqp","0.6.3.3"
"otel","0.2.0"
"pROC","1.18.5"
"parallel","4.4.2"
"parallelMap","1.5.1"
"parallelly","1.41.0"
"patchwork","1.3.0"
"pbapply","1.7-2"
"pbkrtest","0.5.3"
"pbmcapply","1.5.1"
"pbs","1.1"
"pcaPP","2.0-5"
"permute","0.9-7"
"pillar","1.11.1"
"pkgbuild","1.4.6"
"pkgconfig","2.0.3"
"pkgdown","2.1.1"
"pkgload","1.4.0"
"plot.matrix","1.6.2"
"plot3D","1.4.1"
"plotly","4.11.0"
"plotmo","3.6.4"
"plotrix","3.8-13"
"pls","2.8-5"
"plumber","1.3.0"
"plyr","1.8.9"
"png","0.1-8"
"polyclip","1.10-7"
"polynom","1.4-1"
"poweRlaw","0.80.0"
"ppmlasso","1.4"
"pracma","2.4.4"
"praise","1.0.0"
"prettymapr","0.2.5"
"prettyunits","1.2.0"
"printr","0.3"
"processx","3.8.6"
"prodlim","2024.06.25"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.15.1"
"proj4","1.0-14"
"promises","1.5.0"
"proxy","0.4-27"
"ps","1.9.1"
"pspline","1.0-21"
"psych","2.4.12"
"purrr","1.2.1"
"qap","0.1-2"
"qrng","0.0-10"
"quadprog","1.5-8"
"quantmod","0.4.26"
"quantreg","5.99.1"
"rJava","1.0-11"
"ragg","1.3.3"
"rainbow","3.8"
"randomForest","4.7-1.2"
"rapidjsonr","1.2.0"
"rappdirs","0.3.4"
"raster","3.6-31"
"rasterVis","0.51.6"
"rayimage","0.15.1"
"rayrender","0.38.10"
"rayshader","0.37.3"
"rayvertex","0.12.0"
"rbibutils","2.3"
"rcmdcheck","1.4.0"
"rdd","0.57"
"rddensity","2.6"
"rdrobust","2.2"
"readbitmap","0.1.5"
"readr","2.1.5"
"readstata13","0.10.1"
"readxl","1.4.3"
"recipes","1.1.0"
"reformulas","0.4.0"
"refund","0.1-37"
"registry","0.5-1"
"relimp","1.0-5"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.1.6"
"reprex","2.1.1"
"reshape","0.8.9"
"reshape2","1.4.4"
"reticulate","1.40.0"
"rgdax","1.2.1"
"rgl","1.3.17"
"rjson","0.2.23"
"rlang","1.1.7"
"rmarkdown","2.30"
"rnaturalearth","1.1.0"
"rnaturalearthdata","1.0.0"
"roahd","1.4.3"
"robustbase","0.99-4-1"
"rosm","0.3.0"
"roxygen2","7.3.2"
"rpanel","1.1-5.2"
"rpart","4.1.24"
"rpart.plot","3.1.2"
"rprojroot","2.1.1"
"rstatix","0.7.2"
"rstudioapi","0.17.1"
"rticles","0.27"
"rversions","2.1.2"
"rvest","1.0.4"
"s2","1.1.7"
"sandwich","3.1-1"
"sass","0.4.10"
"satellite","1.0.5"
"scales","1.4.0"
"scatterplot3d","0.3-44"
"scico","1.5.0"
"scs","3.2.7"
"seasonal","1.10.0"
"selectr","0.4-2"
"sem","3.1-16"
"seriation","1.5.7"
"servr","0.32"
"sessioninfo","1.2.2"
"sf","1.0-19"
"sfheaders","0.4.4"
"sftime","0.3.0"
"sgeostat","1.0-27"
"shape","1.4.6.1"
"shapes","1.2.7"
"shiny","1.12.1"
"shinyjs","2.1.0"
"smoof","1.6.0.3"
"snow","0.4-4"
"snowfall","1.84-6.3"
"sodium","1.4.0"
"sourcetools","0.1.7-1"
"sp","2.1-4"
"spData","2.3.4"
"spacefillr","0.4.0"
"spacetime","1.3-2"
"spam","2.11-1"
"spatial","7.3-18"
"spatialreg","1.3-6"
"spatstat","3.3-1"
"spatstat.data","3.1-4"
"spatstat.explore","3.3-4"
"spatstat.geom","3.3-5"
"spatstat.linnet","3.2-5"
"spatstat.model","3.3-4"
"spatstat.random","3.3-2"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-1"
"spatstat.utils","3.1-2"
"spdep","1.3-10"
"spgwr","0.6-37"
"splancs","2.01-45"
"splines","4.4.2"
"splines2","0.5.3"
"stabledist","0.7-2"
"stargazer","5.2.3"
"stars","0.6-7"
"stats","4.4.2"
"stats4","4.4.2"
"stinepack","1.5"
"stringi","1.8.7"
"stringr","1.6.0"
"survMisc","0.5.6"
"survey","4.4-2"
"survival","3.8-3"
"survminer","0.5.0"
"svglite","2.1.3"
"swagger","5.17.14.1"
"sys","3.4.3"
"systemfonts","1.2.1"
"tcltk","4.4.2"
"tcltk2","1.2-11"
"tensor","1.5"
"tensorA","0.36.2.1"
"terra","1.8-15"
"terrainmeshr","0.1.0"
"testthat","3.2.3"
"textshaping","1.0.0"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyterra","0.7.2"
"tidyverse","2.0.0"
"tiff","0.1-12"
"timeDate","4041.110"
"timechange","0.3.0"
"tinytex","0.58"
"titanic","0.1.0"
"tmap","3.3-4"
"tmaptools","3.2"
"tmvnsim","1.0-2"
"tools","4.4.2"
"transport","0.15-4"
"tree","1.0-44"
"triebeard","0.4.1"
"tseries","0.10-58"
"tweenr","2.0.3"
"tzdb","0.4.0"
"units","0.8-5"
"urca","1.3-4"
"urlchecker","1.0.1"
"urltools","1.7.3"
"uroot","2.1-3"
"useful","1.2.6.1"
"usethis","3.1.0"
"utf8","1.2.6"
"utils","4.4.2"
"uuid","1.2-1"
"variables","1.1-2"
"vctrs","0.7.0"
"vegan","2.6-8"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waldo","0.6.1"
"webshot","0.5.5"
"webutils","1.2.2"
"wesanderson","0.3.7"
"whisker","0.4.1"
"widgetframe","0.3.1"
"withr","3.0.2"
"wk","0.9.4"
"x13binary","1.1.61"
"xfun","0.56"
"xlsx","0.6.5"
"xlsxjars","0.6.1"
"xml2","1.3.6"
"xopen","1.0.1"
"xtable","1.8-4"
"xts","0.14.1"
"yaml","2.3.12"
"yulab.utils","0.1.9"
"zip","2.3.1"
"zoo","1.8-12"
