v1-patch_id,v1-labels-grouped,v2-labels-grouped
S2A_MSIL2A_20180527T093041_68_6,3.0,
S2A_MSIL2A_20180510T094031_78_67,6.0,6.0
S2B_MSIL2A_20170817T101019_24_59,0.0,0.0
S2B_MSIL2A_20180204T94161_15_63,6.0,6.0
S2B_MSIL2A_20180224T112109_78_3,5.0,5.0
S2B_MSIL2A_20170924T093019_2_89,5.0,5.0
S2B_MSIL2A_20180511T100029_4_31,0.0,0.0
S2A_MSIL2A_20180413T95032_16_29,5.0,5.0
S2B_MSIL2A_20180515T112110_70_1,5.0,5.0
S2B_MSIL2A_20180201T093219_73_54,5.0,5.0
S2A_MSIL2A_20171002T112111_17_48,7.0,7.0
S2B_MSIL2A_20180509T092029_39_12,5.0,5.0
S2A_MSIL2A_20180529T115401_29_60,0.0,0.0
S2B_MSIL2A_20171015T104009_10_75,3.0,3.0
S2B_MSIL2A_20170924T93021_33_43,7.0,7.0
S2B_MSIL2A_20170801T095029_10_69,6.0,6.0
S2B_MSIL2A_20180525T094029_90_72,3.0,3.0
S2B_MSIL2A_20180522T093029_26_18,5.0,5.0
S2A_MSIL2A_20180225T114351_36_14,5.0,5.0
S2B_MSIL2A_20170709T094029_23_48,6.0,6.0
S2B_MSIL2A_20170906T101020_81_73,3.0,3.0
S2A_MSIL2A_20170617T113321_47_31,5.0,5.0
S2A_MSIL2A_20170617T113321_35_19,5.0,5.0
S2A_MSIL2A_20180419T101031_82_86,5.0,5.0
S2B_MSIL2A_20180502T093039_54_20,5.0,5.0
S2B_MSIL2A_20170906T101019_82_19,0.0,0.0
S2B_MSIL2A_20180515T112110_64_72,6.0,6.0
S2B_MSIL2A_20170831T095029_22_4,5.0,5.0
S2A_MSIL2A_20171002T094031_44_64,5.0,5.0
S2B_MSIL2A_20170808T094029_45_47,5.0,5.0
S2A_MSIL2A_20171201T112431_35_6,5.0,5.0
S2B_MSIL2A_20180515T094029_52_84,5.0,5.0
S2A_MSIL2A_20171208T093351_75_14,5.0,5.0
S2A_MSIL2A_20170720T100031_90_12,6.0,6.0
S2A_MSIL2A_20171208T093351_78_6,3.0,3.0
S2B_MSIL2A_20170914T093029_76_87,5.0,5.0
S2A_MSIL2A_20170816T095031_56_81,3.0,
S2B_MSIL2A_20170818T112109_34_38,5.0,
S2A_MSIL2A_20180506T100031_81_66,6.0,6.0
S2B_MSIL2A_20180224T112109_33_69,6.0,6.0
S2A_MSIL2A_20180509T101031_65_69,0.0,0.0
S2A_MSIL2A_20170613T101032_41_54,0.0,0.0
S2B_MSIL2A_20170914T093029_16_76,5.0,5.0
S2A_MSIL2A_20180526T100031_89_83,5.0,5.0
S2B_MSIL2A_20170801T095029_3_13,5.0,5.0
S2A_MSIL2A_20180510T094031_89_73,7.0,7.0
S2A_MSIL2A_20170905T095031_19_66,5.0,5.0
S2A_MSIL2A_20171101T94132_14_64,5.0,5.0
S2A_MSIL2A_20171002T094031_87_75,5.0,5.0
S2B_MSIL2A_20171206T094349_74_74,6.0,6.0
S2A_MSIL2A_20180225T114351_47_35,5.0,5.0
S2B_MSIL2A_20180127T102259_30_57,0.0,
S2B_MSIL2A_20180506T105029_85_49,3.0,3.0
S2A_MSIL2A_20170704T112103_90_22,6.0,6.0
S2A_MSIL2A_20171221T112501_34_19,5.0,5.0
S2B_MSIL2A_20170924T93021_70_1,3.0,
S2B_MSIL2A_20170831T095029_1_74,5.0,5.0
S2A_MSIL2A_20171002T112112_90_40,6.0,6.0
S2A_MSIL2A_20171015T095031_31_75,0.0,0.0
S2B_MSIL2A_20180421T100029_74_2,7.0,7.0
S2A_MSIL2A_20170701T093031_2_22,5.0,5.0
S2A_MSIL2A_20171101T94132_33_41,5.0,5.0
S2B_MSIL2A_20180515T112110_79_65,5.0,5.0
S2A_MSIL2A_20171015T095031_15_68,7.0,7.0
S2A_MSIL2A_20170905T095031_40_30,3.0,3.0
S2B_MSIL2A_20170709T094029_12_60,6.0,6.0
S2B_MSIL2A_20180525T94030_18_46,5.0,5.0
S2B_MSIL2A_20180326T112109_44_21,6.0,6.0
S2B_MSIL2A_20170930T095019_10_63,0.0,0.0
S2A_MSIL2A_20170613T101031_81_3,0.0,0.0
S2B_MSIL2A_20170709T094029_23_50,3.0,3.0
S2B_MSIL2A_20180201T093219_77_43,5.0,5.0
S2B_MSIL2A_20180525T094029_41_40,5.0,5.0
S2A_MSIL2A_20171002T112111_69_9,2.0,2.0
S2A_MSIL2A_20170803T094031_66_86,1.0,1.0
S2A_MSIL2A_20171221T112501_41_56,3.0,3.0
S2B_MSIL2A_20170924T93020_35_0,5.0,5.0
S2B_MSIL2A_20170808T094029_56_41,5.0,5.0
S2A_MSIL2A_20171121T112351_19_8,6.0,6.0
S2B_MSIL2A_20170825T093029_83_76,5.0,5.0
S2A_MSIL2A_20171201T112431_16_40,6.0,6.0
S2B_MSIL2A_20170924T93020_62_41,3.0,3.0
S2B_MSIL2A_20170914T093029_79_1,5.0,5.0
S2B_MSIL2A_20180521T100029_8_41,0.0,
S2B_MSIL2A_20180326T112109_31_7,5.0,5.0
S2A_MSIL2A_20171221T112501_15_87,5.0,5.0
S2B_MSIL2A_20170924T93022_15_37,5.0,5.0
S2B_MSIL2A_20180201T093219_53_86,7.0,7.0
S2B_MSIL2A_20171015T104010_9_63,6.0,6.0
S2B_MSIL2A_20180204T94160_8_80,3.0,3.0
S2A_MSIL2A_20180413T95032_89_27,0.0,0.0
S2B_MSIL2A_20180417T102019_80_15,5.0,5.0
S2B_MSIL2A_20170924T093019_13_72,6.0,6.0
S2B_MSIL2A_20180421T100029_8_45,3.0,3.0
S2A_MSIL2A_20171208T093351_48_60,3.0,3.0
